1,321.94,321.98,2.49863,1563936395.746,1
2,386.37,386.47,2.98338,1563936398.270,0
1,321.94,321.98,2.80603,1563936444.621,1
2,386.37,386.47,3.30315,1563936449.592,0
3,579.46,579.47,5.01824,1563936452.960,1
4,126.17,126.14,1.06910,1563936462.701,0
5,1096.13,1096.12,9.46358,1563936463.815,1
6,129.21,129.19,1.12049,1563936477.258,0
7,129.20,129.18,0.99166,1563936478.412,0
8,387.58,387.52,3.07512,1563936479.437,0
9,129.21,129.20,0.99157,1563936482.537,0
10,129.20,129.18,1.04172,1563936483.554,0
11,193.79,193.78,1.57506,1563936484.621,0
12,129.18,129.17,1.03337,1563936486.221,0
13,129.17,129.16,1.04176,1563936487.279,0
1,249.47,249.50,4.99990,1563936744.513
2,498.97,499.04,8.82501,1563936749.630
3,871.12,871.27,16.53251,1563936758.789
4,1617.56,193.48,3.55884,1563936775.506
1,1895.83,1880.33,20.99930,1563937156.617,1
2,322.45,319.87,5.30848,1563937178.558,0
3,193.47,192.19,3.53316,1563937184.025,0
4,1594.76,1277.37,16.29357,1563937188.059,1
5,257.97,193.48,3.23334,1563937204.611,0
6,257.97,193.48,3.69144,1563937207.961,0
7,319.87,255.38,4.71360,1563937212.023,0
8,2144.15,1730.50,16.47523,1563937216.778,1
9,193.48,128.99,1.15823,1563937233.287,0
1,249.47,249.50,4.03316,1563937281.052,1
2,498.97,499.04,9.98339,1563937286.177,1
3,744.27,744.39,13.07524,1563937296.602,1
4,1365.94,1366.19,16.08606,1563937309.925,1
5,257.95,257.97,2.05007,1563937326.095,0
6,128.98,128.98,1.03453,1563937328.178,0
7,128.97,128.98,1.05005,1563937329.246,0
8,128.98,128.98,0.99997,1563937330.329,0
9,193.47,193.48,1.49164,1563937331.363,0
10,835.48,835.59,6.47523,1563937333.038,1
11,322.45,322.47,2.48341,1563937339.546,0
12,386.94,193.48,1.60304,1563937342.030,0
1,249.47,249.50,4.80842,1563937543.657,1
2,498.97,499.04,9.04197,1563937548.541,1
3,871.12,871.27,15.09947,1563937558.075,1
4,1490.70,1490.98,16.13486,1563937573.725,1
5,257.96,257.97,1.99183,1563937589.935,0
6,257.96,257.97,2.27508,1563937591.952,0
7,193.47,193.48,1.50002,1563937594.252,0
8,577.60,577.66,4.52526,1563937595.935,1
9,451.44,451.46,3.52507,1563937600.538,0
10,451.44,451.46,3.47298,1563937604.096,0
11,322.44,128.99,0.99217,1563937607.603,0
1,249.47,249.50,4.65406,1563937699.986,1
2,498.97,499.04,9.61335,1563937704.810,1
3,933.49,933.66,20.76252,1563937714.611,1
4,193.46,193.47,3.36667,1563937735.449,0
5,1488.61,1488.88,14.46894,1563937738.872,1
6,193.47,193.48,1.54181,1563937753.466,0
7,128.98,128.98,1.00128,1563937755.058,0
8,193.47,193.47,1.48335,1563937756.084,0
9,193.47,193.48,1.53336,1563937757.592,0
10,448.66,448.70,3.63355,1563937759.326,1
11,515.93,515.95,4.04172,1563937762.993,0
12,580.40,515.95,4.07576,1563937767.052,0
